firstName,lastName,bookingClass,bookingReference,KFNumber,KFTier,contact,email,itinerary,checkInStatus,willingEvictor
Kenny,Burch,Business,R2MP7D,9426433819,EGTP,"[{'phoneNumber': '4981419438', 'type': 'Home'}, {'phoneNumber': '4981419438', 'type': 'Mobile'}]",kenny_burch@gmail.com,CGK/SIN/HKG,Checked-In,False
Patrycja,Mcclure,Business,7C3PGH,1279225155,EGTP,"[{'phoneNumber': '3716952828', 'type': 'Home'}, {'phoneNumber': '3716952828', 'type': 'Mobile'}]",patrycja_mcclure@yahoo.com,SIN/HKG/SFO,Not Checked-In,False
Elliott,Whitaker,Business,22Y46W,9469925384,KFEG,"[{'phoneNumber': '3815337349', 'type': 'Home'}, {'phoneNumber': '3815337349', 'type': 'Mobile'}]",elliott_whitaker@gmail.com,SIN/HKG,Not Checked-In,False
Romany,Foster,Business,SHN23P,5346595875,KFLY,"[{'phoneNumber': '4395479899', 'type': 'Home'}, {'phoneNumber': '4395479899', 'type': 'Mobile'}]",romany_forster@yahoo.com,SIN/HKG,Checked-In,False
Iona,Cortes,Business,2QJXMY,4466228321,KFLY,"[{'phoneNumber': '8567316158', 'type': 'Home'}, {'phoneNumber': '8567316158', 'type': 'Mobile'}]",iona_cortes@gmail.com,SIN/HKG,Not-Checked-In,False
Bryony,Fleming,Business,J2EQ9J,2938717789,KFEG,"[{'phoneNumber': '3982234496', 'type': 'Home'}, {'phoneNumber': '3982234496', 'type': 'Mobile'}]",bryony_fleming@yahoo.com,SIN/HKG/SYD,Checked-In,False
Thea,Peacock,Business,JZH6V5,3789555968,KFEG,"[{'phoneNumber': '3357461527', 'type': 'Home'}, {'phoneNumber': '3357461527', 'type': 'Mobile'}]",thea_peacock@gmail.com,SIN/HKG,Not-Checked-In,False
Ralphy,Melendez,Business,6SRQ9B,8942589357,KFLY,"[{'phoneNumber': '5656739955', 'type': 'Home'}, {'phoneNumber': '5656739955', 'type': 'Mobile'}]",ralphy_melendez@yahoo.com,LHR/SIN/HKG,Checked-In,False
Myles,Pugh,Economy,Z4FGKI,2843469261,KFES,"[{'phoneNumber': '4797582984', 'type': 'Home'}, {'phoneNumber': '4797582984', 'type': 'Mobile'}]",myles_pugh@gmail.com,SIN/HKG,Not-Checked-In,True
Dewi,Solomon,Economy,ZTVRQ6,3847486897,KFLY,"[{'phoneNumber': '4621345367', 'type': 'Home'}, {'phoneNumber': '4621345367', 'type': 'Mobile'}]",dewi_solomon@yahoo.com,SIN/HKG,Checked-In,True
Elyse,Mayer,Economy,Z3EIQH,9725839768,KFLY,"[{'phoneNumber': '2981823395', 'type': 'Home'}, {'phoneNumber': '2981823395', 'type': 'Mobile'}]",elyse_mayer@gmail.com,LHR/SIN/HKG,Not-Checked-In,True
Ansh,Goodman,Economy,7N8C55,8667827741,KFES,"[{'phoneNumber': '4731476254', 'type': 'Home'}, {'phoneNumber': '4731476254', 'type': 'Mobile'}]",ansh_goodman@yahoo.com,SIN/HKG,Checked-In,True
Peggy,Howe,Economy,PY8QM4,6242672496,EGTP,"[{'phoneNumber': '7684513425', 'type': 'Home'}, {'phoneNumber': '7684513425', 'type': 'Mobile'}]",peggy_howe@gmail.com,SIN/HKG,Not-Checked-In,True
Cairon,West,Economy,U8URQQ,7398469768,EGTP,"[{'phoneNumber': '4221124329', 'type': 'Home'}, {'phoneNumber': '4221124329', 'type': 'Mobile'}]",cairon_west@yahoo.com,SIN/HKG/LAX,Checked-In,True
Michal,Oneill,Economy,WY3VKX,3113143341,KFLY,"[{'phoneNumber': '1621167922', 'type': 'Home'}, {'phoneNumber': '1621167922', 'type': 'Mobile'}]",michal_oneill@gmail.com,SIN/HKG,Not-Checked-In,True
Aliyah,Hobbs,Economy,BX87PH,2855844167,KFEG,"[{'phoneNumber': '1127988425', 'type': 'Home'}, {'phoneNumber': '1127988425', 'type': 'Mobile'}]",aliyah_hobbs@yahoo.com,SIN/HKG,Not-Checked-In,True
Macy,Haley,Economy,IJJSRE,9866839931,KFLY,"[{'phoneNumber': '7354589531', 'type': 'Home'}, {'phoneNumber': '7354589531', 'type': 'Mobile'}]",macy_haley@gmail.com,SIN/HKG,Checked-In,True
Rachel,Burrows,Economy,BFTAU9,7755442676,KFLY,"[{'phoneNumber': '6783454992', 'type': 'Home'}, {'phoneNumber': '6783454992', 'type': 'Mobile'}]",rachel_burrows@yahoo.com,SIN/HKG/LAX,Not-Checked-In,True
Etienne,Spencer,Economy,QNU3VF,8243235152,KFEG,"[{'phoneNumber': '9978963978', 'type': 'Home'}, {'phoneNumber': '9978963978', 'type': 'Mobile'}]",etienne_spencer@gmail.com,SIN/HKG,Not-Checked-In,True
Lynden,Howell,Economy,V9TGCU,4782958582,KFLY,"[{'phoneNumber': '8461465599', 'type': 'Home'}, {'phoneNumber': '8461465599', 'type': 'Mobile'}]",lynden_howell@yahoo.com,SIN/HKG,Checked-In,True
Daniyal,Finley,Economy,RF2DDF,7797523966,EGTP,"[{'phoneNumber': '2466169211', 'type': 'Home'}, {'phoneNumber': '2466169211', 'type': 'Mobile'}]",daniyal_finley@gmail.com,LHR/SIN/HKG,Not-Checked-In,True
Mysha,Burks,Economy,3AZAS8,8187958195,KFLY,"[{'phoneNumber': '4472686869', 'type': 'Home'}, {'phoneNumber': '4472686869', 'type': 'Mobile'}]",mysha_burks@yahoo.com,SIN/HKG,Checked-In,True
Jakob,Salinas,Economy,MRFOGC,8652441848,KFES,"[{'phoneNumber': '2514968567', 'type': 'Home'}, {'phoneNumber': '2514968567', 'type': 'Mobile'}]",jakob_salinas@gmail.com,SIN/HKG,Not-Checked-In,True
Nur,Lawrence,Economy,Y9N7UA,2518975889,KFEG,"[{'phoneNumber': '7951655222', 'type': 'Home'}, {'phoneNumber': '7951655222', 'type': 'Mobile'}]",nur_lawrence@yahoo.com,SIN/HKG,Not-Checked-In,True
Sapphire,Mccaffrey,Economy,2H5C9K,6585527962,EGTP,"[{'phoneNumber': '2457857289', 'type': 'Home'}, {'phoneNumber': '2457857289', 'type': 'Mobile'}]",sapphire_mccaffrey@gmail.com,SIN/HKG,Checked-In,True
Zoha,Ayala,Economy,573ZD9,4212967356,KFLY,"[{'phoneNumber': '4465439773', 'type': 'Home'}, {'phoneNumber': '4465439773', 'type': 'Mobile'}]",zoha_ayala@yahoo.com,SIN/HKG,Checked-In,True
Jimmie,Crowther,Economy,63G954,6684718922,KFLY,"[{'phoneNumber': '8893145512', 'type': 'Home'}, {'phoneNumber': '8893145512', 'type': 'Mobile'}]",jimmie_crowther@gmail.com,SIN/HKG,Checked-In,True
Tala,Puckett,Economy,NAA9NK,9435871822,EGTP,"[{'phoneNumber': '4872617796', 'type': 'Home'}, {'phoneNumber': '4872617796', 'type': 'Mobile'}]",tala_puckett@yahoo.com,SIN/HKG,Not-Checked-In,True
Izabel,Hewitt,Economy,9UILNI,7271372649,KFLY,"[{'phoneNumber': '3742214787', 'type': 'Home'}, {'phoneNumber': '3742214787', 'type': 'Mobile'}]",izabel_hewitt@gmail.com,SIN/HKG,Not-Checked-In,True
Warwick,Acevedo,Economy,74EBSK,9264669566,KFES,"[{'phoneNumber': '9852744777', 'type': 'Home'}, {'phoneNumber': '9852744777', 'type': 'Mobile'}]",warwick_acevedo@yahoo.com,SIN/HKG,Not-Checked-In,True
Rhia,Horn,Economy,6PKMNM,7995224912,KFLY,"[{'phoneNumber': '9948551424', 'type': 'Home'}, {'phoneNumber': '9948551424', 'type': 'Mobile'}]",rhia_horn@gmail.com,SIN/HKG,Checked-In,True
Courteney,Cote,Economy,1N8XYJ,4189797724,KFEG,"[{'phoneNumber': '1514449745', 'type': 'Home'}, {'phoneNumber': '1514449745', 'type': 'Mobile'}]",courteney_cote@yahoo.com,SIN/HKG,Checked-In,True
Kelvin,Davey,Economy,8RRBXD,8646295829,KFLY,"[{'phoneNumber': '2331964392', 'type': 'Home'}, {'phoneNumber': '2331964392', 'type': 'Mobile'}]",kelvin_davey@gmail.com,SIN/HKG,Not-Checked-In,True
Louis,Warner,Economy,BQNDQX,5226662862,KFLY,"[{'phoneNumber': '9321684428', 'type': 'Home'}, {'phoneNumber': '9321684428', 'type': 'Mobile'}]",louis_warner@yahoo.com,KUL/SIN/HKG,Checked-In,True
Yasser,Wiley,Economy,M8WGFK,6296541912,EGTP,"[{'phoneNumber': '7383271171', 'type': 'Home'}, {'phoneNumber': '7383271171', 'type': 'Mobile'}]",yasser_wiley@gmail.com,SIN/HKG,Not-Checked-In,True
Wilma,Marriott,Economy,3F46H3,7634321987,KFLY,"[{'phoneNumber': '1627677859', 'type': 'Home'}, {'phoneNumber': '1627677859', 'type': 'Mobile'}]",wilma_marriott@yahoo.com,KUL/SIN/HKG,Checked-In,True
Spike,Bean,Economy,Y3KW81,4463941683,EGTP,"[{'phoneNumber': '7638723867', 'type': 'Home'}, {'phoneNumber': '7638723867', 'type': 'Mobile'}]",spike_bean@gmail.com,SIN/HKG,Not-Checked-In,True
Lilly,Gilmour,Economy,RDE1I9,4834273213,KFLY,"[{'phoneNumber': '3783742292', 'type': 'Home'}, {'phoneNumber': '3783742292', 'type': 'Mobile'}]",lilly_gilmour@yahoo.com,SIN/HKG,Not-Checked-In,True
Kerri,Gross,Economy,M2JGX6,3627154426,KFES,"[{'phoneNumber': '6944994939', 'type': 'Home'}, {'phoneNumber': '6944994939', 'type': 'Mobile'}]",kerri_gross@gmail.com,SIN/HKG,Not-Checked-In,True
Luqman,Eastwood,Economy,KKQON6,8643876611,KFES,"[{'phoneNumber': '2669396266', 'type': 'Home'}, {'phoneNumber': '2669396266', 'type': 'Mobile'}]",luqman_eastwood@yahoo.com,MUC/SIN/HKG,Checked-In,True
Mahdi,Dupont,Economy,VIY68U,5646319137,KFLY,"[{'phoneNumber': '8188752565', 'type': 'Home'}, {'phoneNumber': '8188752565', 'type': 'Mobile'}]",mahdi_dupont@gmail.com,SIN/HKG,Not-Checked-In,True
Parris,Haynes,Economy,CPJ3C9,2314733167,KFEG,"[{'phoneNumber': '1375943869', 'type': 'Home'}, {'phoneNumber': '1375943869', 'type': 'Mobile'}]",parris_haynes@yahoo.com,SIN/HKG,Not-Checked-In,True
Idris,Ridley,Economy,WBYG1B,9667477771,KFLY,"[{'phoneNumber': '9623182781', 'type': 'Home'}, {'phoneNumber': '9623182781', 'type': 'Mobile'}]",idris_ridley@gmail.com,SIN/HKG,Checked-In,True
Tahlia,Cooke,Economy,W9IGNC,8664749327,KFLY,"[{'phoneNumber': '7197137316', 'type': 'Home'}, {'phoneNumber': '7197137316', 'type': 'Mobile'}]",tahlia_cooke@yahoo.com,KUL/SIN/HKG,Not-Checked-In,True
Hilary,Mendoza,Economy,431D7A,7469823516,KFEG,"[{'phoneNumber': '8772325498', 'type': 'Home'}, {'phoneNumber': '8772325498', 'type': 'Mobile'}]",hilary_mendoza@gmail.com,SIN/HKG,Checked-In,True
Briony,Beach,Economy,G4P9RS,1468894368,KFLY,"[{'phoneNumber': '3284161875', 'type': 'Home'}, {'phoneNumber': '3284161875', 'type': 'Mobile'}]",briony_beach@yahoo.com,SIN/HKG,Not-Checked-In,True
Raul,Alcock,Economy,XBYQ4J,3798416778,KFLY,"[{'phoneNumber': '8915437955', 'type': 'Home'}, {'phoneNumber': '8915437955', 'type': 'Mobile'}]",raul_alcock@gmail.com,SIN/HKG,Checked-In,True
Paisley,Montgomery,Economy,EU2OYP,2948887226,EGTP,"[{'phoneNumber': '1684712848', 'type': 'Home'}, {'phoneNumber': '1684712848', 'type': 'Mobile'}]",paisley_montgomery@yahoo.com,SIN/HKG,Not-Checked-In,True
Maariya,Best,Economy,E6R12P,1393139116,EGTP,"[{'phoneNumber': '8236922547', 'type': 'Home'}, {'phoneNumber': '8236922547', 'type': 'Mobile'}]",maariya_best@gmail.com,DME/SIN/HKG,Not-Checked-In,True
Emily-Rose,Draper,Economy,H2WMH7,7623879678,KFLY,"[{'phoneNumber': '8249545464', 'type': 'Home'}, {'phoneNumber': '8249545464', 'type': 'Mobile'}]",emily-rose_draper@yahoo.com,SIN/HKG,Checked-In,True
Nawal,Rangel,Economy,GI6XAM,8121275561,KFLY,"[{'phoneNumber': '1172728657', 'type': 'Home'}, {'phoneNumber': '1172728657', 'type': 'Mobile'}]",nawal_rangel@gmail.com,SIN/HKG,Checked-In,True
Yolanda,Barajas,Economy,2KDY8F,8175625383,KFLY,"[{'phoneNumber': '5291647663', 'type': 'Home'}, {'phoneNumber': '5291647663', 'type': 'Mobile'}]",yolanda_barajas@yahoo.com,SIN/HKG,Not-Checked-In,True
Wren,Yu,Economy,Q7BUKK,4315751949,KFEG,"[{'phoneNumber': '3195942645', 'type': 'Home'}, {'phoneNumber': '3195942645', 'type': 'Mobile'}]",wren_yu@gmail.com,DME/SIN/HKG,Not-Checked-In,True
Ellie,Rooney,Economy,CFJGC8,6838123854,KFLY,"[{'phoneNumber': '3459546339', 'type': 'Home'}, {'phoneNumber': '3459546339', 'type': 'Mobile'}]",ellie_rooney@yahoo.com,SIN/HKG,Checked-In,True
Nola,Barrow,Economy,R2FD3F,3971758988,KFES,"[{'phoneNumber': '7693386489', 'type': 'Home'}, {'phoneNumber': '7693386489', 'type': 'Mobile'}]",nola_barrow@gmail.com,SIN/HKG,Checked-In,True
Vikki,Mckinney,Economy,OHDNRL,5231144424,KFLY,"[{'phoneNumber': '9329447516', 'type': 'Home'}, {'phoneNumber': '9329447516', 'type': 'Mobile'}]",vikki_mckinney@yahoo.com,SIN/HKG,Checked-In,True
Parker,Zhang,Economy,QNQZ4F,6847819596,EGTP,"[{'phoneNumber': '9584622664', 'type': 'Home'}, {'phoneNumber': '9584622664', 'type': 'Mobile'}]",parker_zhang@gmail.com,SIN/HKG,Not-Checked-In,True
